sentence_id,sentence,aspect,label
651,"branş dersleri, dil eğitimi ve rehberlik servisi çok iyi. her alanda faydaısnı gördü kızım.",Yabancı Dil Eğitimi,1
667,Konumu çok güzel. Eğitii cok iyii hocaları çok ilglili icimiz rahat bir şekide yolluyoruz çocuklarımızı,Eğitim Kalitesi,1
667,Konumu çok güzel. Eğitii cok iyii hocaları çok ilglili icimiz rahat bir şekide yolluyoruz çocuklarımızı,Ulaşım ve Konum,1
667,Konumu çok güzel. Eğitii cok iyii hocaları çok ilglili icimiz rahat bir şekide yolluyoruz çocuklarımızı,Öğretmen Kadrosu,1
677,Bina iyi görünüyor ama kış aylarında nemli ve soğuk oluyor. Sağlık riski var.,Fiziksel İmkanlar,1
677,Bina iyi görünüyor ama kış aylarında nemli ve soğuk oluyor. Sağlık riski var.,Fiziksel İmkanlar,0
677,Bina iyi görünüyor ama kış aylarında nemli ve soğuk oluyor. Sağlık riski var.,Personel ve Hizmet,0
710,"Verdikleri hizmetten cok memnunuz. Yemekler olsun güvenlik, sağlık, temizlik hepsi de dört dörtlük. Tüm personelleri tecrüebli ve işlerinii severek yapıyor.",Güvenlik,1
710,"Verdikleri hizmetten cok memnunuz. Yemekler olsun güvenlik, sağlık, temizlik hepsi de dört dörtlük. Tüm personelleri tecrüebli ve işlerinii severek yapıyor.",Personel ve Hizmet,1
710,"Verdikleri hizmetten cok memnunuz. Yemekler olsun güvenlik, sağlık, temizlik hepsi de dört dörtlük. Tüm personelleri tecrüebli ve işlerinii severek yapıyor.",Temizlik ve Hijyen,1
710,"Verdikleri hizmetten cok memnunuz. Yemekler olsun güvenlik, sağlık, temizlik hepsi de dört dörtlük. Tüm personelleri tecrüebli ve işlerinii severek yapıyor.",Yemek ve Beslenme,1
759,Öğrencilerin okull kurallarina itiraz etem hakkı tanınmıyr,Yönetim ve İdare,0
789,Verdiği eğitim ve ücret gayet malum.,Eğitim Kalitesi,1
789,Verdiği eğitim ve ücret gayet malum.,Ücret ve Finansal,0
790,Kaliteli bir eğitimin yanında soyal sorumluluk çalışmalarıyla da çocuklara güzel bir örnek olan okul.,Genel Değerlendirme,1
790,Kaliteli bir eğitimin yanında soyal sorumluluk çalışmalarıyla da çocuklara güzel bir örnek olan okul.,Eğitim Kalitesi,1
798,"Eğitimi, temizliği, okuldaki öğretmenler. hepsi diğer okulların önündedir...",Eğitim Kalitesi,1
798,"Eğitimi, temizliği, okuldaki öğretmenler. hepsi diğer okulların önündedir...",Temizlik ve Hijyen,1
798,"Eğitimi, temizliği, okuldaki öğretmenler. hepsi diğer okulların önündedir...",Öğretmen Kadrosu,1
857,"Velilerre yapılan toplantılarda sout bilgi verilmiyor,, genel laflarla gecistiriliyor.",Veli İletişimi,0
892,"Eğitim kalitesiyle, yabancı dil eğitimiyle hatta bütünüyle raikplerinden bir değil on adım ötede bir okul. biz çokk memnun kaldık size de tavsiye ederim:)",Eğitim Kalitesi,1
892,"Eğitim kalitesiyle, yabancı dil eğitimiyle hatta bütünüyle raikplerinden bir değil on adım ötede bir okul. biz çokk memnun kaldık size de tavsiye ederim:)",Genel Değerlendirme,1
892,"Eğitim kalitesiyle, yabancı dil eğitimiyle hatta bütünüyle raikplerinden bir değil on adım ötede bir okul. biz çokk memnun kaldık size de tavsiye ederim:)",Yabancı Dil Eğitimi,1
906,brans derselrinde olduğu kadar sosyal aktivitelerde ve öğrencii kulüplerinde de iyiler.,Sosyal ve Kültürel Etkinlikler,1
906,brans derselrinde olduğu kadar sosyal aktivitelerde ve öğrencii kulüplerinde de iyiler.,Ders Çeşitliliği,1
945,pahalı ve saçma bir fiziki yapıya sahip.,Ücret ve Finansal,0
945,pahalı ve saçma bir fiziki yapıya sahip.,Fiziksel İmkanlar,0
972,Okulun fziksel tasarımında en son  teknoloji ve öğrnci odaklı dizaynlar kullanılmış. Göz alıcı bir okul.,Fiziksel İmkanlar,1
1009,"Okul, başarısız öğrencilere ek destek sağlamak yreine onalrı görmezden geliyor.",Rehberlik ve Psikolojik Destek,0
1022,Eğitim iyi ama okulda öğrencilerin medya okuryazarlığını geliştirmeye yönelik hiçbir etkinlik yok.,Öğrenci Gelişimi,0
1022,Eğitim iyi ama okulda öğrencilerin medya okuryazarlığını geliştirmeye yönelik hiçbir etkinlik yok.,Eğitim Kalitesi,1
1032,Öğretmenleri çk özerili fziksel ikmanları da gayet iyi,Fiziksel İmkanlar,1
1032,Öğretmenleri çk özerili fziksel ikmanları da gayet iyi,Öğretmen Kadrosu,1
1066,sosyal ve teknolojik imkanları gerçektn iiy kızımız arkadaşlarıyla da iyi analşıyor. Bir sorun yok gibi,Teknoloji,1
1066,sosyal ve teknolojik imkanları gerçektn iiy kızımız arkadaşlarıyla da iyi analşıyor. Bir sorun yok gibi,Sosyal ve Kültürel Etkinlikler,1
1094,Okulun bizlerle olan ikili diyolagları ve çocuklarla iletişimi çok iyi.,Veli İletişimi,1
1152,yabancı dil eğitimi iyi. Öğretmenleri çok ilgili. sınıflar kalablaık değil. Yeekleri de güzel ve sağlıklı.,Yabancı Dil Eğitimi,1
1152,yabancı dil eğitimi iyi. Öğretmenleri çok ilgili. sınıflar kalablaık değil. Yeekleri de güzel ve sağlıklı.,Yemek ve Beslenme,1
1152,yabancı dil eğitimi iyi. Öğretmenleri çok ilgili. sınıflar kalablaık değil. Yeekleri de güzel ve sağlıklı.,Fiziksel İmkanlar,1
1152,yabancı dil eğitimi iyi. Öğretmenleri çok ilgili. sınıflar kalablaık değil. Yeekleri de güzel ve sağlıklı.,Öğretmen Kadrosu,1
1168,Öğretmenleri tecrübeli ve çok ilgili verilen eğitimin kalitesini doğrudan etkilediği için bu durumdan biz de çocuğumuz da çok memnun.,Öğretmen Kadrosu,1
1168,Öğretmenleri tecrübeli ve çok ilgili verilen eğitimin kalitesini doğrudan etkilediği için bu durumdan biz de çocuğumuz da çok memnun.,Eğitim Kalitesi,1
1179,Fiziksel imkanlar iyi am a öğrencilerin yaratıcı yaazrlık gibi sanastal alanlarda kendiin ifade etmessine alanaçılmıyor.,Öğrenci Gelişimi,0
1179,Fiziksel imkanlar iyi am a öğrencilerin yaratıcı yaazrlık gibi sanastal alanlarda kendiin ifade etmessine alanaçılmıyor.,Fiziksel İmkanlar,1
1188,Dil eğitimi çok iyi.,Yabancı Dil Eğitimi,1
1239,Ülkemizde teknolojik imkanlardan en cok faydalanan okul  dyebilirim.,Teknoloji,1
1315,Sosyall etkinlikler var ama hepsi ucretli ve seçici.,Sosyal ve Kültürel Etkinlikler,0
1315,Sosyall etkinlikler var ama hepsi ucretli ve seçici.,Ücret ve Finansal,0
1328,Öğretmenler ilgili ama yönetim tamamen kâr odaklı çalışıyor. Her etkinlik için ayrı ücret isteniyor.,Öğretmen Kadrosu,1
1328,Öğretmenler ilgili ama yönetim tamamen kâr odaklı çalışıyor. Her etkinlik için ayrı ücret isteniyor.,Yönetim ve İdare,0
1345,"iDsiplinli, oturmuş bir sistemi olan, hakkaniyetli egitim veren, kaliteli öğretmenlere sahip okul",Genel Değerlendirme,1
1345,"iDsiplinli, oturmuş bir sistemi olan, hakkaniyetli egitim veren, kaliteli öğretmenlere sahip okul",Disiplin,1
1345,"iDsiplinli, oturmuş bir sistemi olan, hakkaniyetli egitim veren, kaliteli öğretmenlere sahip okul",Eğitim Kalitesi,1
1345,"iDsiplinli, oturmuş bir sistemi olan, hakkaniyetli egitim veren, kaliteli öğretmenlere sahip okul",Öğretmen Kadrosu,1
1375,Öğretmenlerin sınıf yönetimi becerileri çok zayıf. Ders saatleri verimsiz geçiyor.,Disiplin,0
1375,Öğretmenlerin sınıf yönetimi becerileri çok zayıf. Ders saatleri verimsiz geçiyor.,Öğretmen Kadrosu,0
1395,Öğretemnler öğrencilerin güçlü yonlerini ödüllendirmek yerine zayıflıklrını süreli ön plana çıkarıyor.,Öğretmen Kadrosu,0
